county_fips	tweets	county	state	pop	tdays	disease	tpm	score	scorenew
4027	1	Yuma County	AZ	200870	1	Influenza	4.978000000	0.25544086626596374	0.5371614847869574
5003	1	Ashley County	AR	21692	1	Influenza	46.099000000	0.550321681339211	2.0262479466235344
5007	5	Benton County	AR	227556	3	Influenza	21.972000000	1.3432611784294501	2.343397944615362
5009	1	Boone County	AR	37051	1	Influenza	26.989000000	0.47597308226339463	1.5801267938021524
5013	6	Calhoun County	AR	5144	3	Influenza	1166.407000000	3.026802998135423	6.216383949236747
5019	2	Clark County	AR	22858	1	Influenza	87.496000000	0.6404224790360461	2.602647356506199
5027	4	Columbia County	AR	24401	2	Influenza	163.927000000	1.4587151290741929	3.867784466876702
5031	3	Craighead County	AR	98315	3	Influenza	30.514000000	1.4787565249456518	2.644572704180901
5033	3	Crawford County	AR	61944	1	Influenza	48.430000000	0.5572225039026953	2.0692108143764
5035	3	Crittenden County	AR	50525	3	Influenza	59.376000000	1.7573964321353859	3.275137328668057
5043	2	Drew County	AR	18467	2	Influenza	108.301000000	1.3411730126489922	3.4639575367294566
5045	4	Faulkner County	AR	116342	2	Influenza	34.381000000	1.0189071293967003	2.381686698629285
5047	1	Franklin County	AR	18047	1	Influenza	55.410000000	0.5760923496788407	2.187815369890638
5049	1	Fulton County	AR	12296	1	Influenza	81.327000000	0.6300998745606019	2.535135687579159
5051	2	Garland County	AR	97124	1	Influenza	20.592000000	0.43890326795938617	1.3716157265792266
5053	3	Grant County	AR	17988	2	Influenza	166.777000000	1.4636102047715476	3.8846635542685104
5055	1	Greene County	AR	42720	1	Influenza	23.408000000	0.45641584963062404	1.4687955826316343
5057	1	Hempstead County	AR	22541	1	Influenza	44.363000000	0.5449566849712345	1.993007919835477
5063	2	Independence County	AR	36861	1	Influenza	54.257000000	0.5731421470292964	2.169167979553694
5069	2	Jefferson County	AR	76246	2	Influenza	26.230000000	0.9440912304816196	2.1393936685146384
5071	1	Johnson County	AR	25742	1	Influenza	38.847000000	0.5264353028705302	1.879399616754022
5091	3	Miller County	AR	43759	2	Influenza	68.557000000	1.2120418743775474	3.024694503984589
5093	1	Mississippi County	AR	45966	1	Influenza	21.755000000	0.4463978430669436	1.4129015161104042
5103	2	Ouachita County	AR	25880	2	Influenza	77.279000000	1.2457941050831984	3.138954062261467
5105	4	Perry County	AR	10405	2	Influenza	384.430000000	1.701245598329926	4.7080619424805015
5115	1	Pope County	AR	62331	1	Influenza	16.043000000	0.4051056517490142	1.1914518866293413
5119	21	Pulaski County	AR	386299	7	Influenza	54.362000000	4.013893437824474	4.013893437824474
5125	1	Saline County	AR	109526	1	Influenza	9.130000000	0.330785902608656	0.8347707430818042
5133	1	Sevier County	AR	17293	1	Influenza	57.826000000	0.5820834191491351	2.2257966083977525
5143	13	Washington County	AR	207521	4	Influenza	62.644000000	2.373317174311777	3.6054046731326417
5145	1	White County	AR	78167	1	Influenza	12.793000000	0.3748801738704833	1.0394181907832847
5149	3	Yell County	AR	22060	1	Influenza	135.992000000	0.7028460757089336	3.016878535583723
6001	24	Alameda County	CA	1529875	7	Influenza	15.687000000	2.8146299731647657	2.8146299731647657
6007	5	Butte County	CA	220266	3	Influenza	22.699000000	1.3566140799248843	2.3728704621792005
6013	10	Contra Costa County	CA	1066096	6	Influenza	9.380000000	2.0056121809180647	2.201659174404085
6017	1	El Dorado County	CA	180938	1	Influenza	5.526000000	0.26797059973873266	0.5818963350479077
6019	13	Fresno County	CA	942904	7	Influenza	13.787000000	2.6937484163913505	2.6937484163913505
6023	4	Humboldt County	CA	134761	3	Influenza	29.682000000	1.4672897843239636	2.618917094315502
6025	2	Imperial County	CA	177057	2	Influenza	11.295000000	0.7169121930480445	1.441526317356805
6029	6	Kern County	CA	851710	3	Influenza	7.044000000	0.8935399165330311	1.3909975693904584
6037	264	Los Angeles County	CA	9889056	7	Influenza	26.696000000	3.3212879984338537	3.3212879984338537
6039	1	Madera County	CA	152925	1	Influenza	6.539000000	0.28858422103279496	0.6596642604576606
6041	2	Marin County	CA	255031	2	Influenza	7.842000000	0.6227180272583004	1.1757496810964683
6047	4	Merced County	CA	259898	3	Influenza	15.390000000	1.1985734540381736	2.0275841784609336
6051	1	Mono County	CA	14309	1	Influenza	69.886000000	0.6087247075467248	2.396413656265947
6053	4	Monterey County	CA	421898	3	Influenza	9.480000000	1.0069151480969556	1.621930976681567
6055	2	Napa County	CA	138088	2	Influenza	14.483000000	0.7827836136670571	1.6366638986876918
6059	32	Orange County	CA	3055745	7	Influenza	10.472000000	2.4399092838572645	2.4399092838572645
6061	8	Placer County	CA	357138	4	Influenza	22.400000000	1.8015634413506605	2.624668592163159
6065	18	Riverside County	CA	2239620	5	Influenza	8.037000000	1.5723766149427276	1.908165896417983
6067	26	Sacramento County	CA	1436105	5	Influenza	18.104000000	2.107069812292994	2.6341473361177026
6071	24	San Bernardino County	CA	2065377	6	Influenza	11.620000000	2.1730995918112006	2.3942522815198695
6073	65	San Diego County	CA	3140069	7	Influenza	20.700000000	3.077312260546414	3.077312260546414
6075	63	San Francisco County	CA	812826	7	Influenza	77.507000000	4.363187792787301	4.363187792787301
6077	5	San Joaquin County	CA	696214	3	Influenza	7.181000000	0.9007775967992405	1.4055015730963065
6081	6	San Mateo County	CA	727209	4	Influenza	8.250000000	1.2712134580139052	1.742969305058623
6083	8	Santa Barbara County	CA	426878	5	Influenza	18.740000000	2.130462167146668	2.6662356506692033
6085	31	Santa Clara County	CA	1809378	6	Influenza	17.132000000	2.4837242854959456	2.752677517620726
6087	5	Santa Cruz County	CA	264298	3	Influenza	18.918000000	1.2821245052183348	2.2091217781128702
6089	1	Shasta County	CA	177774	1	Influenza	5.625000000	0.27012148169604083	0.5897688261061103
6095	8	Solano County	CA	416471	5	Influenza	19.209000000	2.1472343212400795	2.6892556369681584
6097	1	Sonoma County	CA	488116	1	Influenza	2.048000000	0.15921223397491427	0.256633589758506
6099	5	Stanislaus County	CA	518522	5	Influenza	9.642000000	1.6891488829815555	2.06523394724064
6101	2	Sutter County	CA	94919	2	Influenza	21.070000000	0.88406263436247	1.9487632180377197
6107	2	Tulare County	CA	449253	2	Influenza	4.451000000	0.4845140223091839	0.8205347384239785
6111	8	Ventura County	CA	831771	6	Influenza	9.618000000	2.025043434995554	2.2239746924121344
6113	2	Yolo County	CA	202054	2	Influenza	9.898000000	0.6824512246174018	1.3423424735907077
6115	1	Yuba County	CA	72578	1	Influenza	13.778000000	0.3847342269094937	1.0879845855930266
8001	14	Adams County	CO	451443	6	Influenza	31.011000000	2.970925366055341	3.3171219503034477
8003	1	Alamosa County	CO	15710	1	Influenza	63.653000000	0.5955763582647922	2.3118704220187127
8005	3	Arapahoe County	CO	584948	3	Influenza	5.128000000	0.7769436139021243	1.162436268867812
8013	11	Boulder County	CO	299378	5	Influenza	36.742000000	2.593409666219217	3.304843800561114
8014	2	Broomfield County	CO	57352	2	Influenza	34.872000000	1.0228448705399285	2.394565058460333
8031	54	Denver County	CO	619968	7	Influenza	87.101000000	4.478483883615513	4.478483883615513
8035	3	Douglas County	CO	292167	3	Influenza	10.268000000	1.0379857928631968	1.6865047680774963
8041	6	El Paso County	CO	636963	4	Influenza	9.419000000	1.3392177499600266	1.853526295623267
8045	1	Garfield County	CO	56270	1	Influenza	17.771000000	0.4189018750977623	1.2637634650480878
8047	1	Gilpin County	CO	5467	1	Influenza	182.915000000	0.7449248134789228	3.300666454585013
8049	1	Grand County	CO	14548	1	Influenza	68.737000000	0.6063901462003232	2.381356663444539
8059	6	Jefferson County	CO	539884	3	Influenza	11.113000000	1.0689768240148565	1.7514085938724666
8067	1	La Plata County	CO	51917	1	Influenza	19.261000000	0.4298139794205734	1.3221747998254343
8069	5	Larimer County	CO	305525	4	Influenza	16.365000000	1.6311181063977356	2.337124536411618
8075	1	Logan County	CO	22619	1	Influenza	44.210000000	0.5444740430437877	1.9900246764191456
8093	1	Park County	CO	16089	1	Influenza	62.154000000	0.5922251697202168	2.2904257526464002
8097	1	Pitkin County	CO	17102	1	Influenza	58.472000000	0.5836436590792708	2.2357124212738477
8101	4	Pueblo County	CO	160545	2	Influenza	24.915000000	0.929949129040477	2.094154206253717
8113	1	San Miguel County	CO	7490	1	Influenza	133.511000000	0.70023514001205	2.9993756284687896
8123	6	Weld County	CO	258638	4	Influenza	23.198000000	1.820725705782449	2.6571778707284537
9001	37	Fairfield County	CT	925899	7	Influenza	39.961000000	3.712620394495734	3.712620394495734
9003	37	Hartford County	CT	894705	7	Influenza	41.354000000	3.7460628676413896	3.74606286764139
9005	6	Litchfield County	CT	188789	5	Influenza	31.781000000	2.4927493423262272	3.1655051863246597
9007	7	Middlesex County	CT	166043	4	Influenza	42.157000000	2.151339788096935	3.2224579727373377
9009	51	New Haven County	CT	861113	7	Influenza	59.225000000	4.098087548500935	4.098087548500935
9011	11	New London County	CT	273502	5	Influenza	40.219000000	2.6563566536429315	3.3920845571454854
9013	8	Tolland County	CT	152507	4	Influenza	52.456000000	2.2736336489225146	3.4331758154902734
9015	5	Windham County	CT	118151	4	Influenza	42.318000000	2.1534675731516026	3.226118107542396
10001	1	Kent County	DE	164834	1	Influenza	6.066000000	0.2793277927052791	0.6241032873632453
10003	26	New Castle County	DE	541971	5	Influenza	47.973000000	2.779477947024948	3.5629314794505555
10005	4	Sussex County	DE	200330	4	Influenza	19.967000000	1.7388284418074866	2.5184795760436915
11001	111	District of Columbia	DC	617996	7	Influenza	179.612000000	5.196351083958226	5.196351083958226
12001	2	Alachua County	FL	249365	1	Influenza	8.020000000	0.3142063334392189	0.7634724972806755
12005	12	Bay County	FL	169856	6	Influenza	70.648000000	3.6615130632140094	4.1199380464899065
12009	4	Brevard County	FL	543566	2	Influenza	7.358000000	0.6066340468644925	1.1321391669878913
12011	29	Broward County	FL	1780172	7	Influenza	16.290000000	2.850128299695199	2.850128299695199
12017	2	Citrus County	FL	140031	2	Influenza	14.282000000	0.7790501900643928	1.6254237412035792
12019	1	Clay County	FL	192370	1	Influenza	5.198000000	0.2606038084807938	0.5553618548189513
12021	9	Collier County	FL	328134	5	Influenza	27.427000000	2.3909567126853384	3.0248402113420276
12031	20	Duval County	FL	870709	5	Influenza	22.969000000	2.269115234829181	2.8568395961157136
12033	16	Escambia County	FL	299114	7	Influenza	53.491000000	3.9980355504178022	3.9980355504178022
12053	2	Hernando County	FL	173094	2	Influenza	11.554000000	0.72286838282724	1.4588807681169722
12057	41	Hillsborough County	FL	1267775	6	Influenza	32.340000000	3.0057924662765556	3.3575937441800234
12059	1	Holmes County	FL	19873	1	Influenza	50.319000000	0.5625801505681313	2.1027220078348208
12061	1	Indian River County	FL	138894	1	Influenza	7.199000000	0.3005731708020058	0.7072613905369073
12069	2	Lake County	FL	301019	2	Influenza	6.644000000	0.5811202932508648	1.064119429199502
12071	4	Lee County	FL	631330	2	Influenza	6.335000000	0.5693306890271271	1.0331844833456545
12073	14	Leon County	FL	277971	4	Influenza	50.364000000	2.250821450268016	3.393817838738271
12075	1	Levy County	FL	40156	1	Influenza	24.902000000	0.46490288368591365	1.5167585546949431
12081	2	Manatee County	FL	327142	2	Influenza	6.113000000	0.5605497416432509	1.0103533805883111
12083	3	Marion County	FL	332529	3	Influenza	9.021000000	0.9877212390326537	1.582301602159498
12085	2	Martin County	FL	147495	2	Influenza	13.559000000	0.7652026740260539	1.5839149552030145
12086	74	Miami-Dade County	FL	2554766	7	Influenza	28.965000000	3.4000300339101486	3.4000300339101486
12087	6	Monroe County	FL	73873	3	Influenza	81.220000000	1.8897422492013138	3.5781872901280627
12091	3	Okaloosa County	FL	183482	2	Influenza	16.350000000	0.8153121446836767	1.7354410386378314
12095	42	Orange County	FL	1169107	7	Influenza	35.924000000	3.608861746127905	3.608861746127905
12097	4	Osceola County	FL	276163	4	Influenza	14.484000000	1.5656041329802295	2.2274920204035613
12099	21	Palm Beach County	FL	1335187	7	Influenza	15.728000000	2.8170839621263326	2.8170839621263326
12101	7	Pasco County	FL	466457	4	Influenza	15.006000000	1.5845506582542026	2.2591406151493656
12103	14	Pinellas County	FL	917398	6	Influenza	15.260000000	2.3903212321025697	2.644755350729896
12105	7	Polk County	FL	609492	4	Influenza	11.484000000	1.4425416139477332	2.023173487654445
12107	1	Putnam County	FL	74041	1	Influenza	13.506000000	0.38208033670588865	1.0748073771925861
12109	1	St. Johns County	FL	195823	1	Influenza	5.106000000	0.25846741347324087	0.5477910484141822
12111	6	St. Lucie County	FL	280379	4	Influenza	21.399000000	1.7765807514327598	2.5823357951195463
12113	4	Santa Rosa County	FL	154104	2	Influenza	25.956000000	0.9412016877382773	2.130134655995354
12115	13	Sarasota County	FL	382213	5	Influenza	34.012000000	2.5397791856215655	3.23057850912759
12117	6	Seminole County	FL	425071	5	Influenza	14.115000000	1.9397768773081583	2.4053350612791307
12127	5	Volusia County	FL	494804	3	Influenza	10.105000000	1.0317409102913102	1.6734852415280375
12133	1	Washington County	FL	24935	1	Influenza	40.104000000	0.5308722057667896	1.9064477740510979
13009	1	Baldwin County	GA	44417	1	Influenza	22.513000000	0.4510790656693527	1.4389206951865443
13013	1	Barrow County	GA	69912	1	Influenza	14.303000000	0.38972126965841414	1.112937758812753
13015	1	Bartow County	GA	100421	1	Influenza	9.958000000	0.3420099690166034	0.884829549826498
13021	2	Bibb County	GA	156433	2	Influenza	12.785000000	0.7495945841359315	1.5374814702328288
13031	5	Bulloch County	GA	72881	3	Influenza	68.604000000	1.8183523015514282	3.4144989977997082
13039	1	Camden County	GA	50410	1	Influenza	19.837000000	0.43381860751258045	1.3438713833286184
13045	2	Carroll County	GA	111159	2	Influenza	17.992000000	0.8411479536763748	1.814917804371207
13051	9	Chatham County	GA	271544	6	Influenza	33.143000000	3.0261922174010247	3.381276461655383
13057	7	Cherokee County	GA	218286	5	Influenza	32.068000000	2.498975748136021	3.174117521812139
13059	14	Clarke County	GA	117344	6	Influenza	119.307000000	4.105754407844108	4.637280515334859
13063	5	Clayton County	GA	261532	2	Influenza	19.118000000	0.8576042676320419	1.8659830809537672
13067	15	Cobb County	GA	697553	7	Influenza	21.503000000	3.113648633655609	3.113648633655609
13069	1	Coffee County	GA	42864	1	Influenza	23.329000000	0.4559527220614263	1.4661942014455163
13073	1	Columbia County	GA	128112	1	Influenza	7.805000000	0.3107599631354528	0.7490548124982414
13087	1	Decatur County	GA	27694	1	Influenza	36.108000000	0.5162617971130036	1.817798445679272
13089	11	DeKalb County	GA	699893	5	Influenza	15.716000000	2.0116902461326207	2.5035414619333576
13095	5	Dougherty County	GA	94788	4	Influenza	52.749000000	2.2767571783905947	3.4385665649415844
13097	1	Douglas County	GA	133355	1	Influenza	7.498000000	0.30569012024180287	0.7281005598233727
13099	1	Early County	GA	10778	1	Influenza	92.781000000	0.6487088966941448	2.6570676353758644
13103	1	Effingham County	GA	52655	1	Influenza	18.991000000	0.42789745318194367	1.3118401751949431
13111	1	Fannin County	GA	23708	1	Influenza	42.179000000	0.5379077522783776	1.9495565540571156
13113	2	Fayette County	GA	107784	2	Influenza	18.555000000	0.849494573773565	1.8407763650615352
13115	2	Floyd County	GA	95989	2	Influenza	20.835000000	0.8810040534107212	1.9391526747900496
13117	3	Forsyth County	GA	181840	3	Influenza	16.498000000	1.2266085380074598	2.088224288767761
13121	125	Fulton County	GA	949599	7	Influenza	131.634000000	4.8875934551406806	4.8875934551406806
13123	1	Gilmer County	GA	28324	1	Influenza	35.305000000	0.5131364961188872	1.798995133321151
13127	2	Glynn County	GA	80386	2	Influenza	24.879000000	0.9295519511456595	2.0928864665339755
13135	10	Gwinnett County	GA	824941	6	Influenza	12.122000000	2.2065344665051594	2.432760861805206
13139	1	Hall County	GA	183052	1	Influenza	5.462000000	0.26656269534318666	0.5767738650667169
13143	3	Haralson County	GA	28638	3	Influenza	104.755000000	1.997625042056802	3.8263561786710545
13145	1	Harris County	GA	32265	1	Influenza	30.993000000	0.4950738755529222	1.6914917831759138
13151	3	Henry County	GA	207360	1	Influenza	14.467000000	0.39124410315085756	1.1206067232166381
13153	3	Houston County	GA	143925	2	Influenza	20.844000000	0.881121795511402	1.939522444099302
13157	1	Jackson County	GA	61257	1	Influenza	16.324000000	0.4074418319074829	1.2035727243045962
13159	1	Jasper County	GA	13885	1	Influenza	72.020000000	0.6129619108896415	2.423790835927931
13185	3	Lowndes County	GA	111885	2	Influenza	26.813000000	0.9501438677979871	2.1588136949116565
13187	1	Lumpkin County	GA	30031	1	Influenza	33.298000000	0.5050124347762793	1.7503916908742612
13193	1	Macon County	GA	14405	1	Influenza	69.420000000	0.607782473389558	2.3903342929634404
13211	5	Morgan County	GA	17961	4	Influenza	278.380000000	3.2186130641710884	5.075637993200849
13215	6	Muscogee County	GA	194107	4	Influenza	30.910000000	1.9788111087372298	2.9265352996068965
13217	2	Newton County	GA	100814	2	Influenza	19.838000000	0.8676509265685691	1.8973199648885475
13219	1	Oconee County	GA	33366	1	Influenza	29.970000000	0.4904312848550159	1.664196623893227
13223	1	Paulding County	GA	143542	1	Influenza	6.966000000	0.2964546406799218	0.6907156553685302
13229	1	Pierce County	GA	18770	1	Influenza	53.276000000	0.5705831628976724	2.1530238655005944
13233	1	Polk County	GA	41211	1	Influenza	24.265000000	0.4613457198205531	1.496589111963948
13245	7	Richmond County	GA	201217	4	Influenza	34.788000000	2.044350080963057	3.0387370269789553
13247	1	Rockdale County	GA	85765	1	Influenza	11.659000000	0.3626240606649559	0.9804184543597986
13253	1	Seminole County	GA	8791	1	Influenza	113.752000000	0.6775390397118096	2.847828706487199
13291	1	Union County	GA	21134	1	Influenza	47.317000000	0.5539690665152033	2.0489271043931123
13295	1	Walker County	GA	68848	1	Influenza	14.524000000	0.3917696019295228	1.12325844257186
13297	2	Walton County	GA	84580	2	Influenza	23.646000000	0.9156041758616947	2.0484667373804055
15001	1	Hawaii County	HI	186738	1	Influenza	5.355000000	0.26417741494877395	0.56815069038526
15003	6	Honolulu County	HI	963607	3	Influenza	6.226000000	0.8475795568823351	1.2997244451135785
16001	5	Ada County	ID	400842	3	Influenza	12.473000000	1.1145804354744475	1.8477571567757507
16027	1	Canyon County	ID	191694	1	Influenza	5.216000000	0.2610180875807638	0.556836418861018
16055	2	Kootenai County	ID	141132	2	Influenza	14.171000000	0.7769673459331302	1.6191619093305505
16083	1	Twin Falls County	ID	78005	1	Influenza	12.819000000	0.3751492081173354	1.0407309244868974
17003	1	Alexander County	IL	8036	1	Influenza	124.440000000	0.6902610795145854	2.932640324673699
17011	1	Bureau County	IL	34606	1	Influenza	28.896000000	0.4853892417404547	1.634715719618369
17019	15	Champaign County	IL	201685	5	Influenza	74.373000000	3.0874636576418815	3.991269792044932
17021	1	Christian County	IL	34865	1	Influenza	28.682000000	0.48436297163908953	1.6287362108971983
17023	1	Clark County	IL	16161	1	Influenza	61.877000000	0.5915972052941617	2.2864121561086903
17027	1	Clinton County	IL	37956	1	Influenza	26.346000000	0.47265289512669856	1.5610276760829538
17029	1	Coles County	IL	53916	1	Influenza	18.547000000	0.4246888317101264	1.2946097438707589
17031	315	Cook County	IL	5217080	7	Influenza	60.378000000	4.117051464757171	4.117051464757171
17033	2	Crawford County	IL	19857	2	Influenza	100.720000000	1.320635411586834	3.3937410809857007
17037	4	DeKalb County	IL	104743	4	Influenza	38.188000000	2.096211758561369	3.127712463685777
17043	27	DuPage County	IL	923222	7	Influenza	29.245000000	3.4093308815588776	3.4093308815588776
17053	1	Ford County	IL	13976	1	Influenza	71.551000000	0.612041394690389	2.4178379463100304
17055	1	Franklin County	IL	39627	1	Influenza	25.235000000	0.4667277710198107	1.5271426697072703
17063	1	Grundy County	IL	50130	1	Influenza	19.948000000	0.43457759663103446	1.3479989340431
17077	4	Jackson County	IL	60365	4	Influenza	66.263000000	2.4049201762002537	3.6600830754393794
17085	1	Jo Daviess County	IL	22712	1	Influenza	44.029000000	0.543900960949945	1.9864839495126638
17089	11	Kane County	IL	520271	5	Influenza	21.142000000	2.212483041026625	2.778907999198674
17091	1	Kankakee County	IL	113698	1	Influenza	8.795000000	0.32598172162807204	0.8137832851987351
17093	8	Kendall County	IL	116631	5	Influenza	68.592000000	3.0304640130037432	3.9119087131827506
17097	9	Lake County	IL	706222	4	Influenza	12.743000000	1.497445487755837	2.1140499863049564
17099	6	LaSalle County	IL	113518	4	Influenza	52.855000000	2.277882999887276	3.440509665714269
17105	1	Livingston County	IL	38885	1	Influenza	25.716000000	0.4693232338376271	1.5419541058174142
17109	2	McDonough County	IL	32582	2	Influenza	61.383000000	1.1809408006744415	2.919822679453641
17111	6	McHenry County	IL	308944	3	Influenza	19.420000000	1.2927920626013656	2.2324691421098612
17113	4	McLean County	IL	170556	3	Influenza	23.452000000	1.370019433785634	2.402507994444739
17115	2	Macon County	IL	110730	2	Influenza	18.061000000	0.8421841036419817	1.8181231586590472
17117	1	Macoupin County	IL	47687	1	Influenza	20.970000000	0.4413825551995027	1.385222358158555
17119	10	Madison County	IL	268459	4	Influenza	37.249000000	2.082352809222823	3.103920216839846
17123	1	Marshall County	IL	12533	1	Influenza	79.789000000	0.6274058310922123	2.5175697364697065
17133	1	Monroe County	IL	33306	1	Influenza	30.024000000	0.4906801569286137	1.6656562019559529
17137	1	Morgan County	IL	35543	1	Influenza	28.134000000	0.48170083957525084	1.613259173535878
17139	1	Moultrie County	IL	14824	1	Influenza	67.458000000	0.6037457740765221	2.3643250589694276
17143	6	Peoria County	IL	186834	4	Influenza	32.114000000	1.9999749449630966	2.9627367152832
17157	1	Randolph County	IL	33361	1	Influenza	29.975000000	0.4904543467878866	1.6643318595415502
17159	1	Richland County	IL	16230	1	Influenza	61.614000000	0.5909984136106277	2.2825864464873558
17161	5	Rock Island County	IL	147556	3	Influenza	33.885000000	1.5223101160247998	2.742267575916386
17163	6	St. Clair County	IL	270259	4	Influenza	22.200000000	1.7966584449555796	2.6163525359215014
17165	1	Saline County	IL	24981	1	Influenza	40.030000000	0.5306147866362992	1.9048755469016434
17167	6	Sangamon County	IL	198844	4	Influenza	30.174000000	1.9654768080382055	2.90374229007834
17177	3	Stephenson County	IL	47563	3	Influenza	63.074000000	1.7828737137503414	3.3333365222689
17185	1	Wabash County	IL	11834	1	Influenza	84.502000000	0.6355056810688565	2.5704506809107786
17193	1	White County	IL	14663	1	Influenza	68.198000000	0.6052817086388366	2.374214485802127
17195	2	Whiteside County	IL	58388	1	Influenza	34.253000000	0.5089358045742733	1.7738136883536042
17197	15	Will County	IL	681545	6	Influenza	22.008000000	2.6878645556045453	2.9889090482058656
17199	3	Williamson County	IL	66622	3	Influenza	45.030000000	1.6411257247839213	3.0105505105946704
17201	16	Winnebago County	IL	293993	7	Influenza	54.423000000	4.014994670052025	4.014994670052025
17203	1	Woodford County	IL	38861	1	Influenza	25.732000000	0.4694087642355463	1.542443043609822
18003	12	Allen County	IN	358327	4	Influenza	33.488000000	2.0232065356827618	3.002509257833015
18005	3	Bartholomew County	IN	77870	3	Influenza	38.525000000	1.5758285927552296	2.8628129384819836
18011	4	Boone County	IN	57481	3	Influenza	69.588000000	1.824368639306137	3.428275068721852
18015	2	Carroll County	IN	20031	2	Influenza	99.845000000	1.3181670527397455	3.385309937168431
18017	2	Cass County	IN	38828	2	Influenza	51.509000000	1.1317098809933737	2.75473383971377
18019	1	Clark County	IN	111570	1	Influenza	8.962000000	0.32839683637872735	0.8243007483985039
18027	1	Daviess County	IN	31978	1	Influenza	31.271000000	0.49630985630256835	1.6987822801689494
18029	4	Dearborn County	IN	50113	2	Influenza	79.819000000	1.2549177389710924	3.1699136459050723
18031	1	Decatur County	IN	25944	1	Influenza	38.544000000	0.5253448537149511	1.8727687425934674
